File.Name	Precursors.Identified	Proteins.Identified	Total.Quantity	MS1.Signal	MS2.Signal	FWHM.Scans	FWHM.RT	Median.Mass.Acc.MS1	Median.Mass.Acc.MS1.Corrected	Median.Mass.Acc.MS2	Median.Mass.Acc.MS2.Corrected	MS2.Mass.Instability	Normalisation.Instability	Median.RT.Prediction.Acc	Average.Peptide.Length	Average.Peptide.Charge	Average.Missed.Tryptic.Cleavages
Z:\TimsTOF_SCP_maintenance\DIANN_output_folder\HeLa_QC_30102024_SK\Hela_QC_02ng_MTC_S1-A1_1_13727.d.dia	6475	1541	6.76139e+06	10152982655	35756075262	2.019	0.032	4.60602	2.18957	5.54106	4.58321	0	0.134232	0.00889973	10.449	2.089	0.192
Z:\TimsTOF_SCP_maintenance\DIANN_output_folder\HeLa_QC_30102024_SK\Hela_QC_02ng_MTC_S1-A1_1_13736.d.dia	6854	1498	8.42274e+06	14028375956	53228530794	2.052	0.032	4.65333	2.13325	5.46158	4.49295	0	0.0854085	0.00817859	10.453	2.1	0.214
Z:\TimsTOF_SCP_maintenance\DIANN_output_folder\HeLa_QC_30102024_SK\Hela_QC_02ng_MTC_S1-A2_1_13729.d.dia	6035	1474	6.7449e+06	10490717593	43617365052	2.08	0.033	4.16335	2.17015	5.87256	4.83991	0	0.102536	0.00995632	10.504	2.092	0.188
Z:\TimsTOF_SCP_maintenance\DIANN_output_folder\HeLa_QC_30102024_SK\Hela_QC_02ng_MTC_S1-A2_1_13738.d.dia	7913	1760	9.105e+06	10555730181	45003318489	2.11	0.033	4.41813	2.18698	5.4537	4.63648	0	0.0678693	0.0080199	10.611	2.11	0.201
Z:\TimsTOF_SCP_maintenance\DIANN_output_folder\HeLa_QC_30102024_SK\Hela_QC_5ng_MTC_S1-B1_1_13728.d.dia	32422	4699	2.34622e+08	14405798061	112123271688	2.565	0.041	3.60754	1.6797	4.41343	2.9447	0	0.0510832	0.007265	11.277	2.189	0.252
Z:\TimsTOF_SCP_maintenance\DIANN_output_folder\HeLa_QC_30102024_SK\Hela_QC_5ng_MTC_S1-B1_1_13737.d.dia	32360	4720	2.40848e+08	13943306379	108091683762	2.566	0.041	3.83116	1.7784	4.33468	3.05979	0	0.0408024	0.00968309	11.233	2.187	0.25
Z:\TimsTOF_SCP_maintenance\DIANN_output_folder\HeLa_QC_30102024_SK\Hela_QC_5ng_MTC_S1-B2_1_13730.d.dia	31926	4736	2.3309e+08	13522732488	106285592277	2.645	0.042	3.5594	1.73788	4.66683	3.27023	0	0.056663	0.00815744	11.286	2.19	0.251
Z:\TimsTOF_SCP_maintenance\DIANN_output_folder\HeLa_QC_30102024_SK\Hela_QC_5ng_MTC_S1-B2_1_13739.d.dia	32215	4698	2.37566e+08	15105300291	121984733061	2.604	0.041	3.81598	1.76338	4.31779	2.91747	0	0.0445151	0.0106027	11.283	2.191	0.251
